location,state,ph_min,ph_max,ph_mean,do_min,do_max,do_mean,bod_min,bod_max,bod_mean,fc_min,fc_max,fc_mean,tc_min,tc_max,tc_mean
BHAGIRATHI AT GANGOTRI,UTTARAKHAND,7.7,8.1,7.9,8.0,8.9,8.5,,,,,,,,,
"ALKANANDA B/C MANDAKINI AT RUDRAPRAYAG",UTTARAKHAND,7.2,8.7,8.0,8.6,12.2,9.6,,,,700.0,4300.0,2500.0,9300.0,9300.0,9300.0
"MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG",UTTARAKHAND,7.3,8.7,8.0,7.0,9.8,8.8,,,,1500.0,2100.0,1800.0,4300.0,46000.0,25150.0
"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG",UTTARAKHAND,7.6,8.6,8.1,8.6,10.3,9.3,0.6,0.8,0.7,9300.0,24000.0,16650.0,46000.0,46000.0,46000.0
"ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG",UTTARAKHAND,7.4,8.6,8.1,7.7,11.4,9.1,0.6,1.9,1.2,900.0,9300.0,5100.0,4300.0,15000.0,9650.0
"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG",UTTARAKHAND,7.4,8.5,8.0,7.6,9.8,8.6,1.0,1.0,1.0,400.0,900.0,650.0,2100.0,4300.0,3200.0
"ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG",UTTARAKHAND,7.4,8.5,8.1,8.0,10.2,8.7,0.6,0.8,0.7,9300.0,46000.0,27650.0,24000.0,110000.0,67000.0
GANGA AT RISHIKESH U/S,UTTARAKHAND,7.0,8.4,7.7,8.0,11.0,9.1,0.2,3.0,1.7,,,,5.0,200.0,99.0
"A/C R.SONG NR SATYANARAYAN TEMPLE D/S RAIWALA",UTTARAKHAND,6.8,8.6,7.7,5.2,11.0,7.8,1.4,7.6,4.5,800.0,800.0,800.0,1600.0,35000.0,4467.0
GANGA AT HARIDWAR D/S,UTTARAKHAND,6.7,8.5,7.6,4.2,8.8,6.7,0.6,11.0,5.6,300.0,2000.0,1150.0,200.0,580000.0,50917.0
UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,6.8,8.4,7.8,6.4,10.4,8.3,1.0,3.8,2.5,5.0,11.0,8.0,140.0,700.0,377.0
GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,7.2,7.5,7.4,7.0,10.0,8.2,2.8,4.5,3.4,310.0,2100.0,1162.0,700.0,4300.0,2497.0
"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,7.0,8.0,7.4,7.0,10.6,8.4,1.6,3.8,2.8,110.0,1100.0,673.0,430.0,2000.0,1377.0
"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,7.2,8.2,7.6,7.2,10.5,8.3,2.2,6.1,3.6,150.0,1200.0,783.0,640.0,2400.0,1713.0
GANGA AT NARORA (BULANDSAHAR),UTTAR PRADESH,7.0,7.8,7.5,7.4,11.6,8.7,1.9,6.6,3.1,70.0,610.0,420.0,150.0,1400.0,850.0
"AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,7.2,7.7,7.4,7.6,9.2,8.3,2.2,6.8,3.7,300.0,1300.0,840.0,930.0,2600.0,1743.0
GANGA AT KANNAUJ U/S (RAJGHAT),UTTAR PRADESH,7.1,8.5,8.0,6.0,9.8,7.9,3.4,6.2,4.5,700.0,9000.0,3042.0,2800.0,20000.0,10075.0
GANGA AT KANNAUJ D/S,UTTAR PRADESH,7.2,8.6,8.0,6.0,10.1,7.8,4.2,9.0,5.5,900.0,9000.0,3508.0,4300.0,49000.0,20208.0
GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,7.4,8.8,8.2,6.2,14.3,8.7,2.6,5.6,4.0,900.0,4300.0,1700.0,1100.0,21000.0,7750.0
GANGA AT KANPUR U/S (RANIGHAT),UTTAR PRADESH,7.4,9.1,8.2,6.0,12.8,8.6,3.0,5.5,4.3,900.0,28000.0,6667.0,1100.0,150000.0,31992.0
"AT KANPUR D/S (JAJMAU PUMPING STATION)",UTTAR PRADESH,7.1,8.8,8.0,4.0,11.5,6.9,6.6,9.6,8.4,4000.0,93000.0,38942.0,23000.0,240000.0,151333.0
GANGA AT DALMAU (RAI BAREILLY),UTTAR PRADESH,7.1,8.6,7.9,6.8,9.5,7.8,3.4,4.2,3.8,4600.0,6300.0,5300.0,6800.0,8700.0,7775.0
"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,7.0,8.6,7.8,6.8,9.0,7.7,3.3,4.0,3.8,4100.0,6300.0,4980.0,6800.0,8800.0,7510.0
AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,7.4,8.4,8.0,6.0,9.8,7.2,2.8,6.0,4.2,3000.0,3500.0,3358.0,7000.0,9000.0,7750.0
"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,7.4,8.4,7.9,6.1,10.1,7.6,2.3,4.8,3.6,2100.0,3000.0,2492.0,3500.0,6000.0,4167.0
AT ALLAHABAD D/S (SANGAM),UTTAR PRADESH,7.4,8.4,8.0,6.0,9.4,7.2,2.6,5.6,4.0,2800.0,5000.0,3408.0,6000.0,14000.0,8583.0
"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,7.6,8.3,8.0,5.9,11.1,8.7,2.3,10.5,3.7,40.0,700.0,332.0,110.0,5400.0,1995.0
"GANGA D/S, MIRZAPUR",UTTAR PRADESH,7.3,8.2,7.8,5.1,10.3,7.7,2.9,4.5,3.6,230.0,7000.0,2377.0,490.0,17000.0,5708.0
AT VARANASI U/S (ASSIGHAT),UTTAR PRADESH,7.5,7.8,7.6,7.5,7.8,7.6,3.7,4.2,3.9,8000.0,8000.0,8000.0,13000.0,13000.0,13000.0
AT VARANASI D/S (MALVIYA BRIDGE),UTTAR PRADESH,7.9,8.1,8.0,7.0,7.2,7.1,5.2,9.6,8.0,34000.0,46000.0,40000.0,46000.0,70000.0,58000.0
GANGA AT TRIGHAT (GHAZIPUR),UTTAR PRADESH,7.9,8.2,8.0,7.0,7.4,7.3,4.1,4.4,4.3,13000.0,13000.0,13000.0,17000.0,21000.0,19667.0
"GANGA AT BUXAR,BIHAR",BIHAR,7.6,8.5,8.2,7.8,9.0,8.4,2.7,2.8,2.8,1100.0,9000.0,3122.0,2800.0,16000.0,6867.0
"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,7.4,8.6,8.2,7.8,8.7,8.4,2.6,3.0,2.9,5000.0,9000.0,7500.0,16000.0,24000.0,22000.0
"GANGA AT KHURJI, PATNA U/S",BIHAR,7.9,8.6,8.2,8.0,8.9,8.4,2.6,2.8,2.7,1300.0,5000.0,2767.0,2400.0,16000.0,7044.0
"AT INDRAPURI, DEHRI ON SONE",BIHAR,7.3,8.3,7.8,7.9,8.8,8.3,2.6,2.8,2.7,700.0,2400.0,1188.0,1400.0,3000.0,2338.0
"AT CONFL. SONE DORIGANJ, CHAPRA",BIHAR,7.1,8.1,7.7,7.9,9.3,8.5,2.7,2.8,2.8,1100.0,3000.0,1922.0,2200.0,5000.0,3933.0
DARBHANGA GHAT AT PATNA,BIHAR,7.9,8.6,8.3,7.9,8.7,8.4,2.8,3.0,2.9,9000.0,9000.0,9000.0,16000.0,24000.0,23111.0
